enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,prediction
30217,city_16,0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,6,0.0,0.0
16078,city_160,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,10000+,Other,>4,45,0.0,0.0
3856,city_16,0.91,Male,Has relevent experience,No Enrollment,Graduate,STEM,14,50-99,Pvt Ltd,1,32,0.0,0.0
13802,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,100-500,Pvt Ltd,>4,28,0.0,0.0
5599,city_97,0.925,Not provided,Has relevent experience,No Enrollment,Masters,STEM,20,1000-4999,Pvt Ltd,4,53,0.0,0.0
29611,city_21,0.624,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,16,<10,Pvt Ltd,>4,134,1.0,1.0
25754,city_73,0.754,Female,Has relevent experience,Part time course,Graduate,STEM,6,50-99,Pvt Ltd,2,105,0.0,0.0
5178,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,20,10000+,Pvt Ltd,>4,24,0.0,0.0
21743,city_100,0.887,Male,Has relevent experience,No Enrollment,High School,Unknown,0,500-999,Pvt Ltd,4,45,0.0,0.0
24678,city_16,0.91,Not provided,No relevent experience,No Enrollment,High School,Unknown,1,0,Unknown,Never,125,0.0,0.0
30737,city_160,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,13,<10,Early Stage Startup,2,55,0.0,0.0
7049,city_16,0.91,Male,No relevent experience,Part time course,Graduate,STEM,7,50-99,Pvt Ltd,1,50,0.0,0.0
28358,city_77,0.83,Male,Has relevent experience,Full time course,Graduate,STEM,6,100-500,Pvt Ltd,>4,40,0.0,0.0
30533,city_105,0.794,Male,No relevent experience,No Enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0,0.0
25466,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,50-99,Pvt Ltd,2,22,0.0,0.0
29685,city_142,0.727,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,100-500,Pvt Ltd,4,22,0.0,0.0
28638,city_21,0.624,Not provided,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,2,6,1.0,1.0
31323,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,20,1000-4999,Pvt Ltd,1,40,0.0,0.0
22554,city_21,0.624,Male,Has relevent experience,No Enrollment,Masters,STEM,20,100-500,Pvt Ltd,2,43,1.0,1.0
20535,city_138,0.836,Male,Has relevent experience,Full time course,High School,Unknown,9,50-99,Pvt Ltd,1,58,0.0,0.0
4817,city_21,0.624,Female,No relevent experience,No Enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,6,1.0,1.0
1830,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,4,0,Pvt Ltd,Never,58,1.0,1.0
19225,city_160,0.92,Female,Has relevent experience,No Enrollment,Graduate,STEM,20,1000-4999,Pvt Ltd,>4,19,0.0,0.0
8929,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,0,Unknown,4,40,0.0,1.0
14279,city_176,0.764,Male,Has relevent experience,Full time course,Graduate,STEM,4,10-49,Pvt Ltd,2,12,0.0,0.0
13345,city_165,0.903,Not provided,No relevent experience,No Enrollment,Phd,STEM,20,1000-4999,Pvt Ltd,>4,92,0.0,0.0
31518,city_21,0.624,Male,No relevent experience,No Enrollment,High School,Unknown,4,0,Pvt Ltd,Never,21,1.0,1.0
7841,city_71,0.884,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,5,50-99,Unknown,1,21,0.0,0.0
31170,city_57,0.866,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,<10,Pvt Ltd,1,143,0.0,0.0
26050,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,0,Unknown,>4,129,0.0,1.0
9369,city_100,0.887,Male,No relevent experience,Full time course,Graduate,STEM,9,0,Unknown,1,44,0.0,1.0
4345,city_160,0.92,Not provided,No relevent experience,No Enrollment,Masters,STEM,20,10000+,Public Sector,2,11,1.0,0.0
11182,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,11,50-99,Pvt Ltd,2,35,0.0,0.0
25961,city_21,0.624,Male,No relevent experience,No Enrollment,Masters,STEM,2,<10,Early Stage Startup,1,95,0.0,1.0
13766,city_144,0.84,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,<10,Pvt Ltd,1,9,0.0,0.0
24726,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,500-999,Public Sector,2,54,1.0,0.0
30616,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,13,<10,Funded Startup,1,127,0.0,0.0
3759,city_136,0.897,Male,Has relevent experience,No Enrollment,Masters,STEM,20,500-999,Pvt Ltd,2,18,0.0,0.0
23940,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,10000+,Pvt Ltd,2,48,0.0,0.0
1717,city_103,0.92,Not provided,Has relevent experience,No Enrollment,Graduate,Business Degree,10,10000+,Pvt Ltd,2,15,0.0,0.0
27254,city_104,0.924,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,<10,Funded Startup,3,40,0.0,0.0
32925,city_16,0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,20,10000+,Pvt Ltd,2,78,0.0,0.0
17776,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,0,Unknown,1,190,0.0,1.0
29608,city_71,0.884,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,500-999,Unknown,1,51,0.0,0.0
10087,city_103,0.92,Male,No relevent experience,No Enrollment,Graduate,STEM,17,5000-9999,Pvt Ltd,>4,67,0.0,0.0
15153,city_159,0.843,Male,Has relevent experience,No Enrollment,Masters,STEM,8,10000+,Pvt Ltd,1,14,0.0,0.0
8108,city_73,0.754,Not provided,Has relevent experience,Part time course,High School,Unknown,6,50-99,Pvt Ltd,1,77,0.0,0.0
14415,city_21,0.624,Not provided,No relevent experience,No Enrollment,Masters,STEM,2,0,Unknown,Never,14,1.0,1.0
16806,city_133,0.742,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,7,100-500,Pvt Ltd,2,106,1.0,0.0
15678,city_21,0.624,Not provided,Has relevent experience,Part time course,Graduate,STEM,8,10-49,Pvt Ltd,2,58,1.0,1.0
4851,city_114,0.926,Not provided,No relevent experience,No Enrollment,Masters,STEM,20,0,Unknown,>4,11,0.0,1.0
3095,city_16,0.91,Male,No relevent experience,No Enrollment,Masters,STEM,20,0,Unknown,>4,48,0.0,1.0
26906,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,20,50-99,Funded Startup,>4,59,0.0,0.0
14270,city_136,0.897,Male,Has relevent experience,No Enrollment,Masters,STEM,6,10000+,Pvt Ltd,1,10,0.0,0.0
21271,city_103,0.92,Male,No relevent experience,No Enrollment,High School,Unknown,4,0,Unknown,1,64,0.0,1.0
3163,city_61,0.913,Not provided,Has relevent experience,No Enrollment,Masters,STEM,20,50-99,Pvt Ltd,1,116,0.0,0.0
9256,city_173,0.878,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,17,10-49,Pvt Ltd,>4,43,0.0,0.0
20229,city_116,0.743,Male,Has relevent experience,No Enrollment,Masters,STEM,17,0,Unknown,>4,72,0.0,0.0
21857,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,16,100-500,Pvt Ltd,2,53,0.0,0.0
19193,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,14,100-500,Pvt Ltd,2,70,0.0,0.0
27370,city_136,0.897,Male,Has relevent experience,No Enrollment,Masters,STEM,11,50-99,Unknown,1,56,0.0,0.0
5896,city_149,0.6890000000000001,Male,Has relevent experience,No Enrollment,Graduate,STEM,19,10-49,Pvt Ltd,1,11,0.0,0.0
22225,city_67,0.855,Male,No relevent experience,Full time course,High School,Unknown,8,0,Unknown,Never,67,0.0,0.0
32001,city_103,0.92,Not provided,Has relevent experience,No Enrollment,Graduate,Business Degree,11,<10,Pvt Ltd,>4,11,0.0,0.0
26761,city_104,0.924,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,10000+,Pvt Ltd,1,65,0.0,0.0
22203,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,0,Other,1,5,0.0,1.0
6111,city_114,0.926,Male,No relevent experience,Part time course,Masters,STEM,20,<10,Funded Startup,1,15,0.0,0.0
13803,city_73,0.754,Male,Has relevent experience,Full time course,High School,Unknown,6,50-99,Pvt Ltd,3,5,0.0,0.0
27132,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,3,8,1.0,0.0
27012,city_13,0.8270000000000001,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,47,0.0,0.0
22701,city_179,0.512,Not provided,No relevent experience,Full time course,Graduate,STEM,2,0,Unknown,Never,50,1.0,0.0
14960,city_21,0.624,Male,No relevent experience,Full time course,High School,Unknown,3,0,Unknown,1,95,0.0,1.0
30854,city_43,0.516,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,<10,Early Stage Startup,1,11,0.0,1.0
11242,city_28,0.939,Not provided,No relevent experience,No Enrollment,High School,Unknown,3,0,Unknown,Never,48,0.0,0.0
5292,city_74,0.579,Not provided,No relevent experience,Full time course,Graduate,Other,6,0,Unknown,Never,63,1.0,1.0
20301,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,102,0.0,0.0
23963,city_90,0.698,Not provided,No relevent experience,No Enrollment,Graduate,STEM,8,0,Unknown,1,91,1.0,1.0
6417,city_75,0.939,Male,Has relevent experience,No Enrollment,Masters,STEM,9,50-99,Pvt Ltd,4,192,1.0,0.0
22072,city_103,0.92,Female,Has relevent experience,No Enrollment,Graduate,STEM,20,0,Unknown,2,218,0.0,1.0
17268,city_65,0.802,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,<10,Pvt Ltd,1,31,0.0,0.0
22262,city_103,0.92,Female,Has relevent experience,No Enrollment,Graduate,STEM,1,500-999,Unknown,Never,9,0.0,0.0
9252,city_21,0.624,Not provided,No relevent experience,Full time course,Graduate,STEM,3,0,Unknown,1,22,1.0,1.0
316,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,3,0,Pvt Ltd,Never,56,1.0,1.0
25460,city_41,0.8270000000000001,Male,Has relevent experience,No Enrollment,Graduate,STEM,18,100-500,Pvt Ltd,>4,22,0.0,0.0
25546,city_160,0.92,Male,Has relevent experience,No Enrollment,Graduate,Humanities,2,50-99,Unknown,1,107,0.0,0.0
1820,city_101,0.5579999999999999,Male,Has relevent experience,No Enrollment,Masters,STEM,13,50-99,Pvt Ltd,>4,142,0.0,1.0
27358,city_21,0.624,Male,No relevent experience,No Enrollment,Graduate,STEM,4,100-500,Unknown,Never,85,1.0,1.0
12859,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,Humanities,5,50-99,Funded Startup,1,129,0.0,0.0
13331,city_27,0.848,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,100-500,Pvt Ltd,3,85,0.0,0.0
18094,city_21,0.624,Male,No relevent experience,Full time course,High School,Unknown,7,0,Unknown,Never,146,1.0,1.0
19042,city_16,0.91,Not provided,Has relevent experience,No Enrollment,Masters,STEM,15,0,Unknown,1,14,0.0,0.0
987,city_99,0.915,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,<10,Funded Startup,1,6,0.0,0.0
18068,city_114,0.926,Male,Has relevent experience,No Enrollment,Phd,Humanities,20,50-99,Pvt Ltd,1,11,0.0,0.0
27823,city_16,0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,20,10000+,Pvt Ltd,2,25,0.0,0.0
11009,city_160,0.92,Female,Has relevent experience,No Enrollment,Graduate,STEM,9,10-49,Pvt Ltd,4,39,0.0,0.0
29447,city_28,0.939,Male,No relevent experience,No Enrollment,Phd,STEM,20,100-500,Public Sector,>4,46,0.0,0.0
20158,city_149,0.6890000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,7,0,Unknown,1,63,0.0,1.0
14234,city_138,0.836,Male,Has relevent experience,No Enrollment,Masters,STEM,19,100-500,NGO,1,14,0.0,0.0
22440,city_21,0.624,Female,Has relevent experience,No Enrollment,Graduate,STEM,7,10000+,Unknown,1,58,0.0,1.0
15723,city_114,0.926,Male,No relevent experience,No Enrollment,Primary School,Unknown,5,0,Unknown,Never,166,0.0,0.0
29209,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,7,10000+,Public Sector,2,30,0.0,0.0
6447,city_160,0.92,Male,No relevent experience,Full time course,High School,Unknown,8,100-500,Public Sector,2,48,0.0,0.0
30204,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,4,0,Unknown,1,52,1.0,1.0
13154,city_114,0.926,Female,No relevent experience,Part time course,Masters,STEM,4,10-49,Public Sector,3,39,0.0,0.0
32802,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,20,10000+,Pvt Ltd,>4,38,0.0,0.0
18066,city_16,0.91,Male,Has relevent experience,No Enrollment,High School,Unknown,8,<10,Early Stage Startup,1,166,0.0,0.0
17343,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,0,0,Unknown,1,28,1.0,1.0
15191,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,50-99,Unknown,1,4,0.0,1.0
22137,city_103,0.92,Female,Has relevent experience,No Enrollment,Graduate,STEM,10,10000+,NGO,3,84,0.0,0.0
6679,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,35,1.0,1.0
32703,city_103,0.92,Female,Has relevent experience,No Enrollment,Masters,Humanities,10,0,Unknown,>4,33,0.0,1.0
32833,city_21,0.624,Male,Has relevent experience,No Enrollment,Masters,STEM,3,100-500,Pvt Ltd,2,61,0.0,1.0
17875,city_45,0.89,Male,No relevent experience,Full time course,Graduate,STEM,6,0,Unknown,1,17,0.0,1.0
18578,city_162,0.767,Male,Has relevent experience,No Enrollment,Graduate,Humanities,20,100-500,Pvt Ltd,>4,26,1.0,0.0
12863,city_114,0.926,Male,No relevent experience,Full time course,Masters,STEM,20,5000-9999,Other,4,108,1.0,0.0
19634,city_114,0.926,Not provided,Has relevent experience,No Enrollment,Masters,STEM,20,500-999,Pvt Ltd,>4,4,0.0,0.0
5394,city_152,0.698,Male,No relevent experience,No Enrollment,Graduate,STEM,5,0,Unknown,1,42,1.0,1.0
16434,city_24,0.698,Male,Has relevent experience,No Enrollment,High School,Unknown,11,<10,Unknown,3,23,0.0,0.0
28565,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,2,10-49,Pvt Ltd,1,36,0.0,0.0
53,city_16,0.91,Not provided,No relevent experience,Full time course,High School,Unknown,7,0,Pvt Ltd,Never,33,0.0,0.0
4035,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,10000+,Pvt Ltd,2,25,0.0,0.0
6194,city_36,0.893,Male,Has relevent experience,Full time course,Graduate,STEM,10,100-500,Public Sector,1,155,0.0,0.0
21171,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,Arts,20,50-99,Pvt Ltd,2,11,1.0,0.0
12776,city_136,0.897,Male,Has relevent experience,No Enrollment,Masters,STEM,10,0,Unknown,>4,76,0.0,0.0
32287,city_100,0.887,Male,No relevent experience,Full time course,Graduate,STEM,6,0,Pvt Ltd,Never,61,0.0,1.0
3836,city_73,0.754,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,10000+,Pvt Ltd,>4,6,0.0,0.0
13179,city_50,0.8959999999999999,Male,Has relevent experience,No Enrollment,Masters,STEM,10,50-99,Pvt Ltd,1,122,0.0,0.0
15499,city_114,0.926,Male,Has relevent experience,No Enrollment,Graduate,Other,19,<10,Funded Startup,1,130,0.0,0.0
8769,city_11,0.55,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,74,0.0,1.0
30069,city_102,0.804,Male,No relevent experience,Part time course,Masters,STEM,7,0,Unknown,>4,139,1.0,1.0
28604,city_71,0.884,Male,Has relevent experience,No Enrollment,Masters,STEM,20,50-99,Early Stage Startup,>4,39,0.0,0.0
31970,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,9,0.0,0.0
30308,city_116,0.743,Male,Has relevent experience,No Enrollment,Masters,STEM,6,0,Unknown,1,28,0.0,1.0
9219,city_21,0.624,Not provided,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,2,264,0.0,1.0
24377,city_114,0.926,Not provided,Has relevent experience,No Enrollment,Masters,Other,7,1000-4999,Pvt Ltd,Never,57,0.0,0.0
26657,city_103,0.92,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,14,50-99,Pvt Ltd,4,204,0.0,0.0
4277,city_71,0.884,Male,Has relevent experience,Part time course,Graduate,STEM,20,0,Unknown,2,6,1.0,1.0
4207,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,Arts,20,500-999,Pvt Ltd,2,39,0.0,0.0
32966,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0,1.0
1417,city_73,0.754,Male,Has relevent experience,No Enrollment,Graduate,STEM,19,0,Unknown,>4,80,0.0,1.0
9775,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,Arts,5,100-500,Pvt Ltd,1,39,0.0,0.0
9818,city_114,0.926,Male,Has relevent experience,No Enrollment,Graduate,STEM,12,<10,Pvt Ltd,2,24,0.0,0.0
27271,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,Business Degree,16,10-49,Pvt Ltd,1,80,0.0,0.0
30662,city_67,0.855,Male,Has relevent experience,No Enrollment,Graduate,STEM,19,0,Unknown,1,28,0.0,1.0
32700,city_21,0.624,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,3,10-49,Pvt Ltd,1,66,1.0,1.0
11680,city_160,0.92,Not provided,Has relevent experience,No Enrollment,Masters,STEM,11,10000+,Pvt Ltd,2,38,0.0,0.0
11578,city_21,0.624,Male,No relevent experience,No Enrollment,Graduate,STEM,0,0,Unknown,Never,128,1.0,1.0
18150,city_97,0.925,Male,Has relevent experience,No Enrollment,Primary School,Unknown,6,0,Unknown,>4,28,0.0,0.0
29993,city_75,0.939,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,0,Unknown,1,56,1.0,0.0
15239,city_21,0.624,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,12,50-99,Pvt Ltd,>4,14,1.0,1.0
1338,city_75,0.939,Male,Has relevent experience,No Enrollment,High School,Unknown,11,<10,Pvt Ltd,Never,62,0.0,0.0
6632,city_28,0.939,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,5000-9999,Public Sector,>4,105,0.0,0.0
25213,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,No Major,3,<10,Early Stage Startup,1,82,0.0,0.0
6965,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,0,Unknown,1,68,0.0,1.0
8642,city_100,0.887,Not provided,No relevent experience,No Enrollment,High School,Unknown,1,0,Unknown,Never,45,0.0,0.0
6542,city_36,0.893,Male,Has relevent experience,No Enrollment,Masters,STEM,17,1000-4999,NGO,1,13,0.0,0.0
16056,city_55,0.7390000000000001,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,10-49,Pvt Ltd,1,119,0.0,0.0
14465,city_114,0.926,Male,Has relevent experience,No Enrollment,High School,Unknown,20,<10,Pvt Ltd,Never,12,0.0,0.0
14306,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,1000-4999,Pvt Ltd,2,25,0.0,0.0
18876,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,20,100-500,Pvt Ltd,1,82,0.0,0.0
22164,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,<10,Funded Startup,>4,113,0.0,0.0
22051,city_46,0.762,Male,Has relevent experience,No Enrollment,Masters,STEM,4,0,Pvt Ltd,3,34,1.0,1.0
27433,city_23,0.899,Male,No relevent experience,Part time course,High School,Unknown,4,0,Unknown,1,14,0.0,0.0
30944,city_73,0.754,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,54,0.0,0.0
22179,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,7,0,Unknown,2,262,1.0,1.0
5439,city_16,0.91,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,0,Unknown,>4,12,0.0,1.0
24129,city_136,0.897,Not provided,Has relevent experience,No Enrollment,Masters,STEM,6,10000+,Pvt Ltd,Never,126,0.0,0.0
22177,city_103,0.92,Male,No relevent experience,No Enrollment,Masters,STEM,20,0,Pvt Ltd,1,21,0.0,1.0
5854,city_71,0.884,Male,No relevent experience,No Enrollment,Phd,STEM,20,1000-4999,NGO,>4,322,0.0,0.0
33105,city_116,0.743,Male,Has relevent experience,No Enrollment,High School,Unknown,12,100-500,Pvt Ltd,1,26,0.0,0.0
25849,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,Business Degree,14,1000-4999,Pvt Ltd,>4,38,0.0,0.0
18270,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,12,0,Public Sector,1,86,0.0,1.0
22494,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,500-999,Funded Startup,1,5,1.0,1.0
8842,city_103,0.92,Male,No relevent experience,No Enrollment,Graduate,STEM,3,0,Pvt Ltd,>4,74,0.0,1.0
15744,city_114,0.926,Male,No relevent experience,No Enrollment,High School,Unknown,8,50-99,Funded Startup,1,43,0.0,0.0
30163,city_103,0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,0,Unknown,>4,25,0.0,1.0
31479,city_104,0.924,Male,Has relevent experience,No Enrollment,Masters,STEM,8,10000+,Pvt Ltd,1,42,0.0,0.0
5502,city_98,0.949,Male,No relevent experience,No Enrollment,High School,Unknown,2,0,Pvt Ltd,Never,12,0.0,0.0
22429,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,500-999,Pvt Ltd,2,55,1.0,1.0
29700,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,0,Unknown,Never,90,1.0,1.0
10967,city_103,0.92,Male,No relevent experience,No Enrollment,Masters,STEM,6,1000-4999,Public Sector,1,106,1.0,0.0
1849,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,10-49,Pvt Ltd,3,79,0.0,1.0
30244,city_16,0.91,Male,Has relevent experience,No Enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,2,26,0.0,0.0
23159,city_11,0.55,Not provided,Has relevent experience,Part time course,Masters,STEM,8,0,Unknown,1,150,1.0,1.0
12113,city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,3,0,Unknown,1,13,0.0,1.0
25262,city_16,0.91,Other,Has relevent experience,No Enrollment,Masters,No Major,10,<10,Pvt Ltd,1,105,0.0,0.0
17981,city_73,0.754,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,10000+,Pvt Ltd,1,40,0.0,0.0
17676,city_16,0.91,Female,Has relevent experience,No Enrollment,Masters,Humanities,4,50-99,Pvt Ltd,2,25,0.0,0.0
9099,city_21,0.624,Male,No relevent experience,Part time course,Graduate,STEM,2,0,Unknown,Never,77,1.0,1.0
13450,city_115,0.789,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,50-99,Pvt Ltd,1,41,0.0,0.0
27678,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,3,10000+,Pvt Ltd,2,11,0.0,0.0
25978,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,50-99,Public Sector,2,45,1.0,1.0
21795,city_136,0.897,Not provided,Has relevent experience,Part time course,Masters,STEM,3,10000+,Pvt Ltd,1,66,0.0,0.0
27871,city_75,0.939,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,108,0.0,0.0
25779,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,17,0,Public Sector,4,20,0.0,1.0
20402,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,3,50-99,Funded Startup,2,58,1.0,1.0
26355,city_103,0.92,Female,No relevent experience,No Enrollment,Masters,Humanities,20,0,Unknown,1,47,0.0,1.0
29497,city_103,0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,20,10000+,Public Sector,>4,87,1.0,0.0
28017,city_21,0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,0,Unknown,>4,128,0.0,1.0
8543,city_70,0.698,Male,No relevent experience,No Enrollment,Graduate,STEM,6,0,Unknown,Never,23,1.0,1.0
28857,city_114,0.926,Male,Has relevent experience,No Enrollment,High School,Unknown,11,10-49,Pvt Ltd,2,25,1.0,0.0
18304,city_64,0.6659999999999999,Male,No relevent experience,Full time course,High School,Unknown,2,0,Unknown,1,110,0.0,0.0
12662,city_138,0.836,Male,No relevent experience,No Enrollment,Masters,STEM,20,1000-4999,Pvt Ltd,2,188,0.0,0.0
12439,city_75,0.939,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,16,500-999,Pvt Ltd,2,100,0.0,0.0
